"Year","Strata","RD1","RD2","RD3","Total"
2003,"S1",5,5,5,15
2003,"S2",5,5,5,15
2003,"S3",5,5,5,15
2003,"S4",5,5,5,15
2003,"S5",5,5,5,15
2003,"Total",25,25,25,75
2004,"S1",5,5,5,15
2004,"S2",4,5,6,15
2004,"S3",5,5,5,15
2004,"S4",5,5,5,15
2004,"S5",5,5,5,15
2004,"Total",24,25,26,75
2005,"S1",5,5,5,15
2005,"S2",5,5,5,15
2005,"S3",5,5,5,15
2005,"S4",5,5,5,15
2005,"S5",4,5,5,14
2005,"Total",24,25,25,74
2006,"S1",6,6,6,18
2006,"S2",6,6,6,18
2006,"S3",6,6,6,18
2006,"S4",6,6,6,18
2006,"S5",6,6,6,18
2006,"Total",30,30,30,90
2007,"S1",6,6,6,18
2007,"S2",6,6,6,18
2007,"S3",6,6,6,18
2007,"S4",6,6,6,18
2007,"S5",6,6,6,18
2007,"Total",30,30,30,90
2008,"S1",6,6,6,18
2008,"S2",6,6,6,18
2008,"S3",6,6,6,18
2008,"S4",6,6,6,18
2008,"S5",6,6,6,18
2008,"Total",30,30,30,90
2009,"S1",6,6,6,18
2009,"S2",6,6,6,18
2009,"S3",6,6,6,18
2009,"S4",6,6,6,18
2009,"S5",6,6,6,18
2009,"Total",30,30,30,90
2010,"S1",6,6,6,18
2010,"S2",6,6,6,18
2010,"S3",6,6,6,18
2010,"S4",6,6,6,18
2010,"S5",4,6,6,16
2010,"Total",28,30,30,88
2010,"Z",,,,
2010,"Z2",,,,
2010,"Z3",,,,
2010,"Z4",,,,
2010,"Z5",,,,
2010,"Z6",,,,
2011,"S1",7,8,8,23
2011,"S2",7,7,8,22
2011,"S3",14,6,6,26
2011,"S4",6,6,6,18
2011,"S5",7,7,7,21
2011,"Total",41,34,35,110
2012,"S1",7,8,8,23
2012,"S2",7,7,8,22
2012,"S3",14,6,6,26
2012,"S4",6,6,6,18
2012,"S5",7,7,7,21
2012,"Total",41,34,35,110
2013,"S1",6,8,5,19
2013,"S2",5,8,5,18
2013,"S3",8,6,5,19
2013,"S4",6,6,5,17
2013,"S5",6,7,5,18
2013,"Total",31,35,25,91
2014,"S1",6,8,5,19
2014,"S2",6,7,5,18
2014,"S3",8,6,5,19
2014,"S4",6,6,5,17
2014,"S5",6,7,5,18
2014,"Total",32,34,25,91
2015,"S1",6,8,5,19
2015,"S2",6,7,5,18
2015,"S3",8,6,5,19
2015,"S4",6,6,5,17
2015,"S5",6,7,5,18
2015,"Total",32,34,25,91
2016,"S1",6,8,5,19
2016,"S2",6,7,5,18
2016,"S3",8,6,5,19
2016,"S4",6,6,5,17
2016,"S5",6,7,5,18
2016,"Total",32,34,25,91
2017,"S1",6,8,5,19
2017,"S2",6,7,5,18
2017,"S3",8,6,5,19
2017,"S4",6,6,3,15
2017,"S5",6,7,5,18
2017,"Total",32,34,23,89
2018,"S1",6,8,5,19
2018,"S2",6,7,5,18
2018,"S3",8,6,5,19
2018,"S4",6,6,5,17
2018,"S5",6,7,5,18
2018,"Total",32,34,25,91
2019,"S1",6,8,5,19
2019,"S2",6,7,5,18
2019,"S3",8,6,5,19
2019,"S4",6,7,4,17
2019,"S5",5,7,4,16
2019,"Total",31,35,23,89
