"Year","Release","91","92","93","94","95","96","97","98","99","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","Total","No Year"
1991,2447,16,112,49,40,30,24,18,16,8,9,11,5,5,3,1,1,3,1,3,3,3,3,0,0,1,0,0,0,0,372,7
1992,3586,0,15,131,99,66,51,33,45,31,9,20,15,6,3,4,3,4,3,4,7,0,4,2,2,0,1,0,0,0,574,16
1993,7019,0,0,7,432,228,89,94,98,72,44,42,30,8,10,13,9,9,9,4,9,3,8,6,1,3,0,1,0,0,1256,27
1994,7044,0,0,0,13,421,253,238,229,127,77,61,46,14,17,21,10,5,8,2,6,6,5,4,0,2,0,1,0,0,1582,16
1995,15907,0,0,0,0,84,1573,957,606,372,247,164,90,50,57,26,43,22,15,13,12,16,15,3,7,6,6,3,3,1,4485,94
1996,28379,0,0,0,0,0,494,2326,1363,674,458,373,239,88,87,88,85,64,56,51,25,33,23,20,14,12,11,11,6,4,6721,116
1997,19782,0,0,0,0,0,0,1244,2326,913,496,369,244,94,72,93,100,62,60,34,20,18,29,21,8,6,5,5,3,0,6345,123
1998,21966,0,0,0,0,0,0,0,321,1746,1107,752,489,185,170,203,213,112,85,57,38,35,39,17,14,18,6,10,11,0,5687,59
1999,27411,0,0,0,0,0,0,0,0,234,2280,1433,938,354,397,334,280,164,122,61,56,58,43,42,23,18,16,19,24,3,6952,53
2000,22913,0,0,0,0,0,0,0,0,0,149,2044,931,320,313,288,233,139,108,66,80,39,49,15,16,24,8,14,11,5,4891,39
2001,18273,0,0,0,0,0,0,0,0,0,0,138,1565,418,468,383,396,187,155,69,60,33,45,42,15,23,10,11,10,0,4085,57
2002,19857,0,0,0,0,0,0,0,0,0,0,0,95,907,712,483,400,203,159,126,131,44,48,35,28,32,18,9,13,1,3484,40
2003,24659,0,0,0,0,0,0,0,0,0,0,0,0,166,1278,1037,635,356,271,183,119,89,82,46,30,36,23,16,16,3,4431,45
2004,19328,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1376,880,470,300,184,151,86,86,56,32,37,13,18,14,0,3889,42
2005,16511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1175,572,327,184,142,76,67,50,35,19,16,11,12,3,2855,38
2006,19334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,1333,678,366,271,133,129,80,48,44,24,19,28,5,3483,37
2007,16598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,1003,548,367,193,145,115,50,64,36,22,17,3,2806,40
2008,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,378,278,132,82,54,30,30,22,14,10,0,1115,14
2009,7474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,487,261,175,100,42,54,18,21,16,5,1253,12
2010,9921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,402,349,179,71,86,55,35,26,5,1249,21
2011,12541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,610,396,230,216,104,52,56,18,1749,19
2012,8725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,462,243,230,113,69,63,13,1289,15
2013,7978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,329,300,161,74,66,9,1033,17
2014,6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,392,173,101,68,11,788,9
2015,9788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,325,208,168,31,779,11
2016,8586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,369,260,50,719,9
2017,15693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,573,109,759,7
2018,10965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,111,153,1
2019,12042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
